,ISO3,Name,Exchange,Ticker,Price_Change
0,AFG,Afghanistan,,,
1,ALB,Albania,,,
2,DZA,Algeria,,,
3,AND,Andorra,,,
4,AGO,Angola,,,
5,ATG,Antigua and Barbuda,,,
6,ARG,Argentina,Merval Exchange,^MERV,0.28692625660118587
7,ARM,Armenia,,,
8,AUS,Australia,ASX,^AXJO,-0.161814052980677
9,AUT,Austria,,,
10,AZE,Azerbaijan,,,
11,BHS,Bahamas,,,
12,BHR,Bahrain,,,
13,BGD,Bangladesh,,,
14,BRB,Barbados,,,
15,BLR,Belarus,BEL 20,^BFX,0.052267851139286975
16,BEL,Belgium,,,
17,BLZ,Belize,,,
18,BEN,Benin,,,
19,BTN,Bhutan,,,
20,BOL,"Bolivia, Plurinational State of",,,
21,BIH,Bosnia and Herzegovina,,,
22,BWA,Botswana,,,
23,BRA,Brazil,Sao Paulo Exchange,^BVSP,-0.8292801103222079
24,BRN,Brunei Darussalam,,,
25,BGR,Bulgaria,,,
26,BFA,Burkina Faso,,,
27,BDI,Burundi,,,
28,KHM,Cambodia,,,
29,CMR,Cameroon,,,
30,CAN,Canada,Toronto Exchange,^GSPTSE,-0.0038612336660398287
31,CPV,Cape Verde,,,
32,CAF,Central African Republic,,,
33,TCD,Chad,,,
34,CHL,Chile,,,
35,CHN,China,Shenzhen Component,399001.SZ,-1.9730951375611931
36,COL,Colombia,,,
37,COM,Comoros,,,
38,COG,Congo,,,
39,COD,"Congo, the Democratic Republic o",,,
40,CRI,Costa Rica,,,
41,CIV,Cote d'Ivoire,,,
42,HRV,Croatia,,,
43,CUB,Cuba,,,
44,CYP,Cyprus,,,
45,CZE,Czech Republic,,,
46,DNK,Denmark,,,
47,DJI,Djibouti,,,
48,DMA,Dominica,,,
49,DOM,Dominican Republic,,,
50,ECU,Ecuador,,,
51,EGY,Egypt,EGX,EGPT,-0.2976187730795046
52,SLV,El Salvador,,,
53,GNQ,Equatorial Guinea,,,
54,ERI,Eritrea,,,
55,EST,Estonia,,,
56,ETH,Ethiopia,,,
57,FJI,Fiji,,,
58,FIN,Finland,,,
59,FRA,France,CAC 40,^FCHI,-1.1324402015601869
60,GAB,Gabon,,,
61,GMB,Gambia,,,
62,GEO,Georgia,,,
63,DEU,Germany,DAX,^GDAXI,-0.6741697654323309
64,GHA,Ghana,,,
65,GRC,Greece,,,
66,GRD,Grenada,,,
67,GTM,Guatemala,,,
68,GIN,Guinea,,,
69,GNB,Guinea-Bissau,,,
70,GUY,Guyana,,,
71,HTI,Haiti,,,
