ISO3,Exchange,Price_Change
ARG,Merval Exchange,0.28692625660118587
AUS,ASX,-0.161814052980677
BLR,BEL 20,0.052267851139286975
BRA,Sao Paulo Exchange,-0.8292801103222079
CAN,Toronto Exchange,-0.0038612336660398287
CHN,Shenzhen Component,-2.0479267696612418
EGY,EGX,-0.2976187730795046
FRA,CAC 40,-1.1324402015601869
DEU,DAX,-0.6741697654323309
HKG,Hang Seng Index,-2.139131543249045
IND,BSE (Bombay),-3.0468096415066617
IDN,Jakarta Index,-0.8817707221529114
ISR,Tel Aviv Stock Exchange,1.2907413734617752
JPN,Nikkei 225,-2.175793767393106
KOR,KOSPI,-1.847113751898414
MYS,Kuala Lumpur Exchange,-0.7161429077165173
MEX,IPC Mexico,1.9001994090737804
NLD,Amsterdam AEX Index,-1.281587986522438
NZL,NZSE,-0.08936755368040318
NOR,Oslo Exchange Benchmark Index_GI,-0.946231011751218
PHL,PSEi Index,-0.8296978436680412
PRT,Dow Jones Portugal Index EUR,-1.0750931381071895
RUS,MOEX Russia index,-1.8954521082460711
ZAF,Johannesburg,-1.8205270109525513
TWN,TSEC,-0.812041318579477
TUR,BIST 100,0.956928197034895
GBR,FTSE,0.1279220458661587
USA,SPX,-1.0485594702645082
