,ISO3,Name,Exchange,Ticker,Price_Change
6,ARG,Argentina,Merval Exchange,^MERV,0.28692625660118587
8,AUS,Australia,ASX,^AXJO,-0.161814052980677
15,BLR,Belarus,BEL 20,^BFX,0.052267851139286975
23,BRA,Brazil,Sao Paulo Exchange,^BVSP,-0.8292801103222079
30,CAN,Canada,Toronto Exchange,^GSPTSE,-0.0038612336660398287
35,CHN,China,Shenzhen Component,399001.SZ,-1.9730951375611931
51,EGY,Egypt,EGX,EGPT,-0.2976187730795046
59,FRA,France,CAC 40,^FCHI,-1.1324402015601869
63,DEU,Germany,DAX,^GDAXI,-0.6741697654323309
73,HKG,Hong Kong,Hang Seng Index,^HSI,-1.9902859253278824
76,IND,India,BSE (Bombay),^BSESN,-2.586680619481355
77,IDN,Indonesia,Jakarta Index,^JKSE,-0.597816673422414
81,ISR,Israel,Tel Aviv Stock Exchange,^TA125.TA,-0.45304928515284376
84,JPN,Japan,Nikkei 225,^N225,-2.175793767393106
90,KOR,"Korea, Republic of",KOSPI,^KS11,-1.7550797802826523
105,MYS,Malaysia,Kuala Lumpur Exchange,^KLSE,-0.46620629020047405
112,MEX,Mexico,IPC Mexico,^MXX,1.9001994090737804
124,NLD,Netherlands,Amsterdam AEX Index,^AEX,-1.281587986522438
125,NZL,New Zealand,NZSE,VGI,-0.08936755368040318
129,NOR,Norway,Oslo Exchange Benchmark Index_GI,^OSEAX,-0.946231011751218
137,PHL,Philippines,PSEi Index,PSEI.PS,-1.45220427766729
139,PRT,Portugal,Dow Jones Portugal Index EUR,SPY,-1.0750931381071895
142,RUS,Russian Federation,MOEX Russia index,IMOEX.ME,-0.7275885914402622
160,ZAF,South Africa,Johannesburg,^JN0U.JO,1.3537521413891436
169,TWN,Taiwan,TSEC,^TWII,-0.812041318579477
178,TUR,Turkey,BIST 100,XU100.IS,-9.311590196989686
184,GBR,United Kingdom,FTSE,^FTSE,0.1279220458661587
185,USA,United States,SPX,VOO,-1.0485594702645082
